reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,reference_frame,secondary_frame,reference_url,secondary_url,score
S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F,S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C,2026-06-29,2026-07-06,7.0,ASCENDING,12,70,70,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260629T121233_20260629T121301_065184_08379D_D76F.zip,https://datapool.asf.alaska.edu/SLC/SD/S1D_IW_SLC__1SDV_20260706T121154_20260706T121221_003553_0064F5_743C.zip,7.0
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,2024-01-11,2024-01-23,12.0,ASCENDING,12,74,74,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2.zip,12.0
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-23,2024-02-04,12.0,ASCENDING,12,74,74,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD.zip,12.0
S1A_IW_SLC__1SDV_20260622T122103_20260622T122130_065082_083408_663A,S1D_IW_SLC__1SDV_20260629T122022_20260629T122049_003451_006174_C1CF,2026-06-22,2026-06-29,7.0,ASCENDING,85,73,73,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260622T122103_20260622T122130_065082_083408_663A.zip,https://datapool.asf.alaska.edu/SLC/SD/S1D_IW_SLC__1SDV_20260629T122022_20260629T122049_003451_006174_C1CF.zip,7.0
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB,2024-01-04,2024-01-16,12.0,ASCENDING,85,73,73,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB.zip,12.0
S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB,S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,2024-01-16,2024-01-28,12.0,ASCENDING,85,73,73,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1.zip,12.0
S1A_IW_SLC__1SDV_20260620T000417_20260620T000444_065045_0832C4_489E,S1D_IW_SLC__1SDV_20260627T000336_20260627T000403_003414_006042_C43A,2026-06-20,2026-06-27,7.0,DESCENDING,48,514,514,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260620T000417_20260620T000444_065045_0832C4_489E.zip,https://datapool.asf.alaska.edu/SLC/SD/S1D_IW_SLC__1SDV_20260627T000336_20260627T000403_003414_006042_C43A.zip,7.0
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40,2024-01-02,2024-01-14,12.0,DESCENDING,48,514,514,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40.zip,12.0
S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40,S1A_IW_SLC__1SDV_20240126T000438_20240126T000505_052270_0651B8_0AF7,2024-01-14,2024-01-26,12.0,DESCENDING,48,514,514,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40.zip,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240126T000438_20240126T000505_052270_0651B8_0AF7.zip,12.0
