reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,orbit_direction,relative_orbit,reference_frame,secondary_frame,baseline_score,quality,selection_status,track_rank
S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,2024-02-16T12:13:14+00:00,2024-02-28T12:13:14+00:00,12.0,-12.0,ASCENDING,12,74,74,72.0,GOOD,PRIORITY,2
S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,2024-07-09T12:13:13+00:00,2024-07-21T12:13:13+00:00,12.0,11.0,ASCENDING,12,74,74,71.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20260313T121256_20260313T121323_063609_07FEB1_07E5,S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,2026-03-13T12:12:56+00:00,2026-03-25T12:12:56+00:00,12.0,13.0,ASCENDING,12,74,74,73.0,GOOD,PRIORITY,3
S1A_IW_SLC__1SDV_20250615T122112_20250615T122139_059657_076846_9EF7,S1A_IW_SLC__1SDV_20250627T122112_20250627T122139_059832_076E5B_6710,2025-06-15T12:21:12+00:00,2025-06-27T12:21:12+00:00,12.0,-14.0,ASCENDING,85,73,73,74.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20250709T122111_20250709T122138_060007_07746D_C658,S1A_IW_SLC__1SDV_20250721T122110_20250721T122137_060182_077A6E_0CE6,2025-07-09T12:21:11+00:00,2025-07-21T12:21:10+00:00,12.0,-17.0,ASCENDING,85,73,73,77.0,GOOD,PRIORITY,3
S1A_IW_SLC__1SDV_20260210T122103_20260210T122130_063157_07ED85_E1AF,S1A_IW_SLC__1SDV_20260222T122102_20260222T122129_063332_07F424_5EAE,2026-02-10T12:21:03+00:00,2026-02-22T12:21:02+00:00,12.0,14.0,ASCENDING,85,73,73,74.0,GOOD,PRIORITY,2
S1A_IW_SLC__1SDV_20240817T000436_20240817T000504_055245_06BC09_4B0F,S1A_IW_SLC__1SDV_20240829T000437_20240829T000504_055420_06C27C_BAF4,2024-08-17T00:04:36+00:00,2024-08-29T00:04:37+00:00,12.0,-18.0,DESCENDING,48,514,514,78.0,GOOD,PRIORITY,3
S1A_IW_SLC__1SDV_20260127T000420_20260127T000447_062945_07E596_57B1,S1A_IW_SLC__1SDV_20260208T000419_20260208T000446_063120_07EC2E_D334,2026-01-27T00:04:20+00:00,2026-02-08T00:04:19+00:00,12.0,-15.0,DESCENDING,48,514,514,75.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20260503T000419_20260503T000446_064345_081A1F_8865,S1A_IW_SLC__1SDV_20260515T000418_20260515T000445_064520_082060_0C8E,2026-05-03T00:04:19+00:00,2026-05-15T00:04:18+00:00,12.0,17.0,DESCENDING,48,514,514,77.0,GOOD,PRIORITY,2
