master_scene,slave_scene,master_date,slave_date,orbit_direction,relative_orbit,master_polarization,slave_polarization,temporal_baseline_days,status,spatial_baseline,hyp3_status,notes
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-23 12:13:15+00:00,2024-02-04 12:13:14+00:00,ASCENDING,12,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,2024-05-10 12:13:16+00:00,2024-05-22 12:13:15+00:00,ASCENDING,12,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,2024-06-15 12:13:15+00:00,2024-06-27 12:13:14+00:00,ASCENDING,12,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB,2024-01-04 12:21:22+00:00,2024-01-16 12:21:21+00:00,ASCENDING,85,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240209T122120_20240209T122147_052482_0658EB_E079,2024-01-28 12:21:21+00:00,2024-02-09 12:21:20+00:00,ASCENDING,85,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,S1A_IW_SLC__1SDV_20240515T122121_20240515T122148_053882_068C7D_ECA7,2024-05-03 12:21:22+00:00,2024-05-15 12:21:21+00:00,ASCENDING,85,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40,2024-01-02 00:04:39+00:00,2024-01-14 00:04:38+00:00,DESCENDING,48,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,S1A_IW_SLC__1SDV_20240606T000438_20240606T000505_054195_06974D_FCBA,2024-05-25 00:04:39+00:00,2024-06-06 00:04:38+00:00,DESCENDING,48,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240817T000436_20240817T000504_055245_06BC09_4B0F,2024-08-05 00:04:37+00:00,2024-08-17 00:04:36+00:00,DESCENDING,48,VV+VH,VV+VH,11,PRIORITY_CANDIDATE,TO_BE_CHECKED,NOT_SUBMITTED,Short temporal baseline; spatial baseline must be checked before HyP3.
