reference_scene,secondary_scene,reference_date,secondary_date,orbit_direction,relative_orbit,frame,temporal_baseline_days,asf_temporal_baseline,perpendicular_baseline_m,status
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,2024-01-02T00:04:39Z,2024-01-02T00:04:39Z,DESCENDING,48,514,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20231221T000439_20231221T000506_051745_063FE7_9852,2024-01-02T00:04:39Z,2023-12-21T00:04:39Z,DESCENDING,48,514,-12.0,-12,-111.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20231209T000440_20231209T000508_051570_0639CC_EEA3,2024-01-02T00:04:39Z,2023-12-09T00:04:40Z,DESCENDING,48,514,-24.0,-24,146.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20240114T000438_20240114T000505_052095_064BDC_0A40,2024-01-02T00:04:39Z,2024-01-14T00:04:38Z,DESCENDING,48,514,12.0,12,149.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240102T000439_20240102T000506_051920_0645E2_BFE4,S1A_IW_SLC__1SDV_20240126T000438_20240126T000505_052270_0651B8_0AF7,2024-01-02T00:04:39Z,2024-01-26T00:04:38Z,DESCENDING,48,514,24.0,24,187.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,2024-01-04T12:21:22Z,2024-01-04T12:21:22Z,ASCENDING,85,73,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20231211T122123_20231211T122150_051607_063B16_50B6,2024-01-04T12:21:22Z,2023-12-11T12:21:23Z,ASCENDING,85,73,-24.0,-24,-12.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,2024-01-04T12:21:22Z,2024-01-28T12:21:21Z,ASCENDING,85,73,24.0,24,-78.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB,2024-01-04T12:21:22Z,2024-01-16T12:21:21Z,ASCENDING,85,73,12.0,12,103.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,S1A_IW_SLC__1SDV_20231223T122122_20231223T122149_051782_064120_1D68,2024-01-04T12:21:22Z,2023-12-23T12:21:22Z,ASCENDING,85,73,-12.0,-12,131.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,2024-01-23T12:13:15Z,2024-01-23T12:13:15Z,ASCENDING,12,74,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-23T12:13:15Z,2024-02-04T12:13:14Z,ASCENDING,12,74,12.0,12,-7.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20231230T121316_20231230T121343_051884_0644B4_C465,2024-01-23T12:13:15Z,2023-12-30T12:13:16Z,ASCENDING,12,74,-24.0,-24,-44.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-01-23T12:13:15Z,2024-02-16T12:13:14Z,ASCENDING,12,74,24.0,24,-66.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,2024-01-23T12:13:15Z,2024-01-11T12:13:15Z,ASCENDING,12,74,-12.0,-12,72.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,2024-01-28T12:21:21Z,2024-01-28T12:21:21Z,ASCENDING,85,73,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240221T122120_20240221T122147_052657_065ED6_4DB2,2024-01-28T12:21:21Z,2024-02-21T12:21:20Z,ASCENDING,85,73,24.0,24,68.0,BASELINE_CANDIDATE
