reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,orbit_direction,relative_orbit,reference_frame,secondary_frame,baseline_score,quality,selection_status,track_rank
S1A_IW_SLC__1SDV_20260430T121236_20260430T121304_064309_0818CD_9E64,S1A_IW_SLC__1SDV_20260512T121236_20260512T121303_064484_081F1E_A292,2026-04-30T12:12:36+00:00,2026-05-12T12:12:36+00:00,12.0,13.0,ASCENDING,12,70,70,73.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20260325T121256_20260325T121323_063784_080538_17AA,S1A_IW_SLC__1SDV_20260406T121256_20260406T121323_063959_080BBB_4A2A,2026-03-25T12:12:56+00:00,2026-04-06T12:12:56+00:00,12.0,14.0,ASCENDING,12,74,74,74.0,GOOD,PRIORITY,2
S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,S1A_IW_SLC__1SDV_20250728T121304_20250728T121331_060284_077DEF_9EBF,2025-07-16T12:13:04+00:00,2025-07-28T12:13:04+00:00,12.0,-15.0,ASCENDING,12,74,74,75.0,GOOD,PRIORITY,3
S1A_IW_SLC__1SDV_20260318T122102_20260318T122129_063682_08015B_6B10,S1A_IW_SLC__1SDV_20260330T122102_20260330T122129_063857_0807DF_27F2,2026-03-18T12:21:02+00:00,2026-03-30T12:21:02+00:00,12.0,17.0,ASCENDING,85,73,73,77.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20260222T122102_20260222T122129_063332_07F424_5EAE,S1A_IW_SLC__1SDV_20260306T122102_20260306T122129_063507_07FACC_4ED5,2026-02-22T12:21:02+00:00,2026-03-06T12:21:02+00:00,12.0,19.0,ASCENDING,85,73,73,79.0,GOOD,PRIORITY,2
S1A_IW_SLC__1SDV_20240421T122121_20240421T122148_053532_067F4A_881C,S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,2024-04-21T12:21:21+00:00,2024-05-03T12:21:22+00:00,12.0,-20.0,ASCENDING,85,73,73,80.0,GOOD,PRIORITY,3
S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,2025-12-22T00:04:23+00:00,2026-01-03T00:04:22+00:00,12.0,-19.0,DESCENDING,48,514,514,79.0,GOOD,PRIORITY,1
S1A_IW_SLC__1SDV_20260103T000422_20260103T000449_062595_07D88A_717D,S1A_IW_SLC__1SDV_20260115T000421_20260115T000448_062770_07DF47_DCA4,2026-01-03T00:04:22+00:00,2026-01-15T00:04:21+00:00,12.0,-21.0,DESCENDING,48,514,514,81.0,GOOD,PRIORITY,2
S1A_IW_SLC__1SDV_20251023T000428_20251023T000455_061545_07AF94_EDE6,S1A_IW_SLC__1SDV_20251104T000427_20251104T000454_061720_07B682_6FB3,2025-10-23T00:04:28+00:00,2025-11-04T00:04:27+00:00,12.0,26.0,DESCENDING,48,514,514,86.0,GOOD,PRIORITY,3
